date,date_certainty,event,source,citation,category,source_is_brief_only
2014-12-31,exact,"FY2014 restated downward $10,478: balance $5,002,937 -> $4,992,459; net income $1,220,163 -> $1,209,685",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2015/2014 vs FY2014/2013 stmts",financial-adverse,FALSE
2015-03-25,exact,"Partnership capital transfer 'to Steve/Bypass Trust 3/25/15'. FY2015 is split at this date in the capital reconciliation. CONSISTENT WITH but NOT STATING Manuel C. Leal's date of death — no death certificate in record.",Draft reconciliation + reviewed stmts,"Capital Analysis 8-3-2017 pp.3, 6 [DRAFT]",estate,FALSE
2015-12-31,exact,"FY2015 withdrawals total $217,344 (Manuel $135,391 / Steve $81,953); capital contribution $346,052; 12/31/2015 total capital $5,478,612",Reviewed financial statement,"Equity Accounts 1997-2015.pdf, FY2015/2014 stmt",financial,FALSE
2015-01-01,range,"Partnership-paid personal expenses schedule begins (through 12/6/2017): Hazel $66,072.53 / Steve $49,122.05 / Jace-Jordan $21,304.82 / Misc $12,915.95. CONTAINS EXPRESS ESTIMATES.",Internal schedule,"STEVE.HAZEL PERSONAL EXPENSES.xlsx (1o5Re3q_6wZTRu_Mhh4yrtNqVrgFuKmBo) Sheet2",financial-adverse,FALSE
2015-01-01,range,"Shell Beach CARRYING COSTS paid by partnership, booked to Hazel (gardener, PG&E, South County Sanitary, San Luis Obispo property taxes, insurance). NO REMODEL OR CONSTRUCTION RECORD EXISTS.",Internal schedule,"STEVE.HAZEL PERSONAL EXPENSES.xlsx Sheet2",financial,FALSE
2016-12-31,exact,"FY2016 withdrawals: Manuel/Hazel $213,592 / Steve $83,626; net LOSS $(214,285)",Draft reconciliation,"Capital Analysis 8-3-2017 p.3 [DRAFT]",financial,FALSE
2016-00-00,NOT ESTABLISHED,"2016 gift deed — NO DOCUMENT IN RECORD. (A 'recorded Correction Grant Deed' is referenced in a 2017.08.08 letter to R. Esraelian, Drive 1Doyn_ceE6_xSv7dxpaaR3yrUGBZnD_La — NOT REVIEWED; relationship to any 2016 gift deed unverified.)",No source / unreviewed,"No responsive document reviewed",gap,FALSE
2017-08-03,exact,"Capital Analysis prepared — 'DRAFT - FOR INTERNAL DISCUSSION PURPOSES ONLY'; presents both 50/50 and 75/25 profit-split scenarios",Internal draft,"Manuel Leal & Son Dairy Capital Analysis 8-3-2017 (1L357_kNU9uk4pZFm2K0LuajeckXW2GOg)",financial,FALSE
2017-12-07,exact,"Settlement Agreement and Mutual Release executed among Steve's Trust, Manuel's Trust, Hazel's Trust, and Plaintiff individually",Mediation brief,"Mediation Brief p.2 (Exhibit A referenced; EXHIBIT NOT LOCATED)",litigation,TRUE
2018-06-00,month-only,"Tenants in Common Agreement entered; buyout at 90% of appraised value including discounts identified by appraiser; Sec. 11 requires jointly appointed appraiser whose decision is binding",Mediation brief,"Mediation Brief pp.3-4 (Exhibit B referenced; EXHIBIT NOT LOCATED)",litigation,TRUE
2018-06-00,month-only,"Amended Partnership Agreement of Manuel C. Leal & Son Dairy entered; Art. XIII Sec. J — partnership to purchase Hazel's interest at 90% of appraised value including discounts",Mediation brief,"Mediation Brief pp.3, 6 (Exhibit C referenced; EXHIBIT NOT LOCATED)",litigation,TRUE
2022-09-23,exact,"HAZEL J. LEAL DATE OF DEATH. Defendants become Successor Co-Trustees. THIS IS THE VALUATION DATE for both buyout formulas and for the 998 offer. NO DEATH CERTIFICATE IN RECORD.",Mediation brief,"Mediation Brief p.3",estate,TRUE
2022-10-31,exact,"Plaintiff's counsel emails defendants' then-counsel Robyn Esraelian re representation, closing Manuel's Trust, and exercise of purchase option",Mediation brief,"Mediation Brief p.3",litigation,TRUE
2023-02-03,exact,"Counsel phone call — parties agree to use William Reddington for Partnership appraisal",Mediation brief,"Mediation Brief p.6",litigation,TRUE
2023-02-06,exact,"Defendants' counsel emails William Reddington confirming engagement",Mediation brief,"Mediation Brief pp.6-7 (Exhibit H; NOT LOCATED)",litigation,TRUE
2023-02-15,exact,"Defendants' counsel asks about using Correia-Xavier for real property appraisal",Mediation brief,"Mediation Brief p.4 (Exhibit D; NOT LOCATED)",litigation,TRUE
2023-03-09,exact,"Plaintiff's counsel agrees to Correia-Xavier",Mediation brief,"Mediation Brief p.4 (Exhibit E; NOT LOCATED)",litigation,TRUE
2023-03-21,exact,"Defendants' counsel emails Xavier: appraisal sought 'for the purposes of the Tenants in Common Agreement buyout provisions and for the dairy partnership valuation'",Mediation brief,"Mediation Brief p.4 (Exhibit F; NOT LOCATED)",litigation,TRUE
2023-04-06,exact,"Phone conference between both counsel and Xavier re retention and scope",Mediation brief,"Mediation Brief p.4",litigation,TRUE
2023-06-20,exact,"Defendants' counsel emails Jace Leal (copying plaintiff's counsel) confirming Xavier for real property and Reddington for partnership, first for the federal estate tax return then for the buyouts; requests additional business information",Mediation brief,"Mediation Brief p.5 (Exhibit G; NOT LOCATED)",litigation,TRUE
2023-08-08,exact,"Correia-Xavier real property appraisal dated; date-of-death total value $14,220,000; performed on 100% ownership; NO DISCOUNTS APPLIED",Mediation brief,"Mediation Brief pp.5-6 (APPRAISAL NOT IN RECORD)",valuation,TRUE
2023-08-18,exact,"Correia-Xavier appraisal 'completed' per brief; defendants decline to release it, contending it contains errors. NOTE: internal tension with the 8/8/2023 date on the same document.",Mediation brief,"Mediation Brief p.5",valuation,TRUE
2023-12-13,exact,"J. Hower & Associates real property appraisal dated; total value $18,100,000; NO DISCOUNTS APPLIED",Mediation brief,"Mediation Brief p.6 (APPRAISAL NOT IN RECORD)",valuation,TRUE
2024-06-07,exact,"Plaintiff's counsel recommends Moss Adams as qualified business appraiser (following Reddington's death)",Mediation brief,"Mediation Brief p.7 (Exhibit I; NOT LOCATED)",litigation,TRUE
2024-07-01,exact,"Defendants' counsel emails re Moss Adams availability",Mediation brief,"Mediation Brief p.7 (Exhibit J; NOT LOCATED)",litigation,TRUE
2024-11-18,exact,"Moss Adams Partnership Valuation dated; concluded value $2,840,000; minority interest and discounts applied",Mediation brief,"Mediation Brief p.7 (VALUATION NOT IN RECORD)",valuation,TRUE
2025-01-17,exact,"Defendant Ashley Garabedian emails appraisals and Moss Adams findings to Jace Leal",Mediation brief,"Mediation Brief pp.5, 7",litigation,TRUE
2025-03-03,exact,"Plaintiff's letter identifying deficiencies; buyout offer $3,950,565.28 (30% minority discount; improvements removed; Hazel's asserted negative capital account taken into account)",Mediation brief,"Mediation Brief p.8 (Exhibit K; NOT LOCATED)",settlement,TRUE
2025-06-19,exact,"Defendants' letter rejecting offer; 'Final' counteroffer $7,359,766.00 (15% minority discount) plus $1,617,761.00 claimed unpaid partnership profit through Dec 2024",Mediation brief,"Mediation Brief pp.8, 10 (Exhibit L; NOT LOCATED). Figure printed in brief as '$7,359.766.00' — typo in our brief.",settlement,TRUE
2025-06-25,exact,"Plaintiff receives defendants' June 19, 2025 letter",Mediation brief,"Mediation Brief p.8",settlement,TRUE
2025-00-00,NOT ESTABLISHED,"COMPLAINT FILED — filed after receipt of defendants' final offer. EXACT FILING DATE NOT ESTABLISHED IN RECORD. Causes of action: breach of contract (TIC and Partnership Agreements), breach of implied covenant of good faith and fair dealing, declaratory relief.",Mediation brief,"Mediation Brief p.9 (Exhibit M / Complaint NOT LOCATED)",litigation,TRUE
2026-01-21,exact,"Garabedian-Leal Mediation Brief dated (Drive 1BD14JDeC0VTQGemgiFgWkjmDG-kmo7ly) — NOT YET REVIEWED",Document metadata,"Drive file title and date",litigation,FALSE
2026-01-28,exact,"Mediation before Hon. Timothy Volkmann (Ret.), JAMS, 10:00 a.m.",Mediation brief,"Mediation Brief caption",litigation,TRUE
2026-07-02,exact,"Cover letter from Brandon M. Ormonde to Niki Cunningham: alternative monetary settlement offer $5,705,257.43 (principal $4,700,000 + Bypass income $327,427.02 + interest $677,830.41 @4%); conditioned on immediate cessation of partnership-funded personal expenses and draws; open 30 days. NOTE: page-2 running header misdated 'January 2, 2024'.",Correspondence,"2026-7-2 BMO Atty Cunningham Ltr.pdf (1nnHz4PJtMz7wv-6b1GGwpV-0CT7Xq4we)",settlement,FALSE
2026-07-09,NOT ESTABLISHED,"CCP 998 offer reportedly served. NO AS-SERVED PROOF OF SERVICE, MAIL LOG, OR TRANSMITTAL IN RECORD. Date is a tasking input only. SEE OPEN ITEM OI-1.",No source,"No responsive document located",litigation,FALSE
2018-01-03,exact,"DEFECT: The proof of service bound into the 998 offer recites service and execution on JANUARY 3, 2018 — more than eight years before the July 2026 cover letter. Signed Georgia Davidson. Envelope address block contains NO STREET ADDRESS.",Document,"998 offer FINAL.pdf, Proof of Service page",litigation-adverse,FALSE
2026-00-00,NOT ESTABLISHED,"DEFECT: The 998 offer itself is UNDATED — 'Dated: ______' blank on both the offer and the Request to Enter Judgment.",Document,"998 offer FINAL.pdf, signature blocks",litigation-adverse,FALSE
2026-08-01,computed,"Cover letter's own 30-day window expires (30 days from July 2, 2026 letter date). COMPUTATION ONLY — legal effect addressed in R1.",Computation,"Derived from 2026-7-2 BMO Atty Cunningham Ltr.pdf",computed-deadline,FALSE
2026-08-08,computed,"CCP 998(b)(2) 30-day period expires if service occurred 7/9/2026 (30 calendar days). COMPUTATION ONLY.",Computation,"Derived from reported 7/9/2026 service date",computed-deadline,FALSE
2026-08-13,computed,"CCP 998(b)(2) period as extended by CCP 1013 five-day mail extension, IF that extension applies to 998 acceptance (contested — see R1). COMPUTATION ONLY.",Computation,"Derived from reported 7/9/2026 service date",computed-deadline,FALSE
2026-08-18,exact,"Date of this workspace. ALL COMPUTED 998 ACCEPTANCE WINDOWS ABOVE HAVE PASSED under every method of computation.",Workspace,"Prepared 2026-08-18",computed-deadline,FALSE
2026-08-24,NOT ESTABLISHED,"Escrow closing. NO ESCROW FILE, INSTRUCTIONS, OR CONFIRMATION IN RECORD. Date is a tasking input only.",No source,"No responsive document located",transaction,FALSE
2026-09-15,deadline,"DEADLINE: materials to litigation counsel",Tasking instruction,"Workspace tasking",deadline,FALSE
2026-10-13,deadline,"CASE MANAGEMENT CONFERENCE",Tasking instruction,"Workspace tasking — CONFIRM AGAINST COURT DOCKET",deadline,FALSE
