path,drive_id,mimeType,modifiedTime,sizeBytes
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/2017 4.30.pdf,1K6hcnlsSkYZcs8PtC1rkt4-zi6kqAWdI,application/pdf,2017-06-19,221587
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/2017 5.31.pdf,16NyeqQfbjCmw5mqYo4zgNqfvBFgt3ALE,application/pdf,2017-06-19,245383
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/2017 6.30.pdf,1ENDL9cgRWLt9SsxUWLt82K0Lf-ZedV5V,application/pdf,2017-07-03,224241
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/2017 7.31.pdf,17PB9iXLPtMOD8zPe_5WG3IYA7l_Evizu,application/pdf,2017-08-04,214180
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/2017 8.31.pdf,1G4vmtMPwukywNxBOGAh02yXlB9pQ9Z8q,application/pdf,2017-09-06,312237
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/2017 9.30.pdf,1kaDyWO52zmtsh61cGVEpJyZxlDBmEdlf,application/pdf,2017-10-06,251562
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconcile 10.31.17.pdf,1fWCn5GUKPPn0lyDQqLA7B2Dh_yZPJt_o,application/pdf,2017-11-02,33175
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconcile 11.30.17.pdf,12tBj-YIlKRQn6rReBMO0t7Pgiciv7ghn,application/pdf,2017-12-04,79080
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconcile 12.31.17.pdf,1Z4LRqkBbFnqNiCCraYMkfY4-pvK6dwwn,application/pdf,2018-01-07,77795
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconcile 6.30.17.pdf,1VbZwKyLWCf_zLa3r4oiLGZtRwl2ekA8b,application/pdf,2017-07-03,73293
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconcile 7.31.17.pdf,12JkwnaJIb8KDlDuYEmi5twIiy7GOSVue,application/pdf,2017-08-04,80245
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconcile 8.31.17.pdf,1KSuAJo7Fk8c_e6Q_KK97UvFdsaGAndFL,application/pdf,2017-09-06,82788
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconcile 9.30.17.pdf,1H5DMcXMsguzAPsdqjrEMyotj0mc9JKt-,application/pdf,2017-10-06,32975
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconciliation 10.31.17.pdf,1ayoGuPStcunYWjMhZ-_uEDsk6ahL7Pyd,application/pdf,2017-11-02,78167
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconciliation 11.30.17.pdf,1vT6rhCey6mYbQIq_BJ4eBJLJOkPxVTQ9,application/pdf,2017-12-04,33214
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconciliation 12.31.17.pdf,1Ke7D76OeCuiQ_6pCEp7CyQUtyPZYVcQe,application/pdf,2018-01-07,32666
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconciliation 5.31.17.pdf,1xG0hAy5_1_bHQQukC_dhPbnk7bCmHQdR,application/pdf,2017-06-19,32675
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconciliation 6.30.17.pdf,186poGOqs1bCd6Bppd-GtsvnFOzJ1xvEI,application/pdf,2017-07-03,31871
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2017/reconciliation 9.30.17.pdf,1RXOCqr7wmD49_ruOX1ivfcDnMXMhrV9i,application/pdf,2017-10-06,80333
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018,1TKJfUhiCigjSRhi-NDrTIeZ1_ofR6fs4,application/vnd.google-apps.folder,2026-08-18,
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 1.31 reconcile.pdf,1dpCtcOm-xDRSY6CU0T_KugwT1zi-DeXC,application/pdf,2018-02-08,32927
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 1.31 reconciliation.pdf,128isbTAH7tPEuOnIfXTUk6SHEywU_UA5,application/pdf,2018-02-08,79460
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 1.31.pdf,1LkzvLfgHn8yJ57EJrKP_x0fDDN27E2pw,application/pdf,2018-02-08,252002
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 10.31 reconciliation detail.pdf,1Z0287tgw9-ojCgyYnTKKNKvlDdGSQwud,application/pdf,2018-11-15,82400
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 10.31 reconciliation summary.pdf,1mzw3CCdXa34CKQv8FdC4kiMH-w0wOqWf,application/pdf,2018-11-15,33019
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 10.31.pdf,17PqDQLCW0X0coICMQx6LjqIjfqx4s7qf,application/pdf,2018-11-14,327952
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 11.30 reconciliation detail.pdf,1vwRzezlOJX3JnV1uJfd92Wx-RgMyIcde,application/pdf,2018-12-10,77492
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 11.30 reconciliation summary.pdf,1Jw5rkJ9cSPprxzzbNedSNS47gzC59-U-,application/pdf,2018-12-10,33197
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 11.30.pdf,14f5Qk2fgnQP6CztCRjjj-JymTwpCB5nh,application/pdf,2018-12-10,264690
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 12.31 reconciliation detail.pdf,11cTleK2CRr5y5GzpsuLMiPScQutIagDt,application/pdf,2019-01-14,78311
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 12.31 reconciliation summary.pdf,1TJuQpzTJlrjFw03k-sRkPjr7riJAptZU,application/pdf,2019-01-14,32669
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 12.31.pdf,1etoRgXYw8yQz6sS4O153NmNx8IIayKSA,application/pdf,2019-01-14,248472
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 2.28 reconcile.pdf,1mhnvaPH_PFE8-Cr_NZ_f8UWWloBusHrH,application/pdf,2018-03-07,76332
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 2.28 reconciliation.pdf,1dCt1NeHeufueoxFaVrqF9L3it7e0Gagu,application/pdf,2018-03-07,32943
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 2.28.pdf,16imdv_tdtDjLSi79G4J6t5WIjAcqZAWr,application/pdf,2018-03-07,219389
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 3.30 reconcile.pdf,1Ih66MID5eF9lspFtv93XsmqOQf2xPFHi,application/pdf,2018-04-10,81920
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 3.30 reconciliation.pdf,15JYrwEt_EhUQ8PWlr02U2C0qekN1IrQL,application/pdf,2018-04-10,32996
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 3.30.pdf,17a1SyWll_RE0SPacC02dlAuNektRhhc-,application/pdf,2018-04-10,287575
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 4.30 reconcile.pdf,1zzkTESmFuw8WMAfgdb-5c7P1lUm6tI3E,application/pdf,2018-05-10,78364
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 4.30 reconciliation summary.pdf,1qv4oxt4J-RFBbgm709LanOEU0J2ZotXo,application/pdf,2018-05-10,32735
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 4.30.pdf,1TEwnyV2L8uNhBrTIx-Y4A8uIVcv54rtE,application/pdf,2018-05-10,272888
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 5.31 reconcile.pdf,117xxS-3WuteM2UsAkQHHupmDfVaVCTtL,application/pdf,2018-06-07,74762
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 5.31 reconciliation summary.pdf,1tgiVsRC5rI0J8qyatSS0IFWL9MIpNqoP,application/pdf,2018-06-07,32950
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 5.31.pdf,1CneOxo_EEPZhg2-xNGNxoLkl0OHVYe5h,application/pdf,2018-06-07,267734
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 6.30 reconciliation summary.pdf,1eEnBRsOY0pBIZKLysRyFXVl9KOM8tH9S,application/pdf,2018-07-06,33081
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 6.30.pdf,1zWSaPlw_VN3jK9o0RfFhSVjKk5I0drO4,application/pdf,2018-07-06,269466
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 7.31 reconciliation detail.pdf,1AyCIxlswshpmviJ6HrZss4B-JtvwJVXn,application/pdf,2018-08-04,76071
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 7.31 reconciliation summary.pdf,1RZnGBtrud4nesXMdS120NEqFoPG8O0Al,application/pdf,2018-08-04,32593
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 7.31.pdf,1BcpiqOEw_-OC6MAqphFu9lvm_Jd1AUNN,application/pdf,2018-08-03,269028
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 8.31 reconciliation detail.pdf,1SUf6bgUM0AlbDxpUdlUfyUHCZHLlBr8U,application/pdf,2018-09-10,80139
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 8.31 reconciliation summary.pdf,1ZZtDdfn3QMh69xbAZW0ryjE-jXyQNdbf,application/pdf,2018-09-10,32951
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 8.31.pdf,1vJxwGyEobcgeUKmEzM0kxUq6XUx44D1g,application/pdf,2018-09-06,300009
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 9.28 reconciliation detail.pdf,13Gwv_ZJI1MfxaeUeByeOl6RGwixpU16Y,application/pdf,2018-10-02,74611
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 9.28 reconciliation summary.pdf,14MKpIEoSiluYfVALb4gOoxBDUGo3xzyl,application/pdf,2018-10-02,32667
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2018/2018 9.28.pdf,1RrEZL74Ze1ULRsCfuT1nkBWAoCUS1BwV,application/pdf,2018-10-02,260893
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019,1q87l6g-53QufJN_HWG4_JEXAHnqTChVO,application/vnd.google-apps.folder,2026-08-18,
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 1.31 reconciliation detail.pdf,1kaWyHEqbTna--c3Uvrob9hOI8uXVQyUb,application/pdf,2019-02-04,76754
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 1.31 reconciliation summary.pdf,1ZJZmxk6TRHGxesKjHfeTMpJhYpy8yzwn,application/pdf,2019-02-04,32806
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 1.31.pdf,19oDmprq3Pu3DdfWf5kYEyYW3_A622z9L,application/pdf,2019-02-04,291498
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 10.31 reconciliation detail.pdf,1V3_ERoCXf9wjYWmc8v-YbGrDsbC7KPo2,application/pdf,2019-11-07,75256
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 10.31 reconciliation summary.pdf,1SNHgTX9gKp7F6eajIzEBmJiwUGW2CRRF,application/pdf,2019-11-07,32869
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 10.31.pdf,1l9ajLMr2LkWQN-SOMUK_xKkANmB5iOqv,application/pdf,2019-11-07,268402
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 11.30 Citizens.pdf,1OW25AShVSNegWo2KqwYlJ1vu1yxyn2At,application/pdf,2019-12-11,238832
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 11.30 reconciliation detail.pdf,1t2Oipx_oqEgfTVHWeuOW_meFHJ-UH34L,application/pdf,2019-12-12,76359
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 11.30 reconciliation summary.pdf,1qCz4FD6Sciqa5GG9egGFD7SPxZJVQOHC,application/pdf,2019-12-12,33221
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 12.31 Citizens.pdf,1YfwFhWJp_ujHb-nWC_uHWHts3-iIWH15,application/pdf,2020-01-14,291185
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 12.31 reconciliation detal.pdf,1XVQv84IGlv2e3FQXQKHK-8o1urtVihhJ,application/pdf,2020-01-11,84018
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 12.31 reconciliation summary.pdf,1jBksdXIOGbxUpwOPDdo4Zy2IwGwSi8Vv,application/pdf,2020-01-11,32687
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 2.28  reconciliation detail.pdf,1k2Q7xXttSYGPawLvS4T73k_Cip-Ixjlk,application/pdf,2019-03-09,78660
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 2.28 reconciliation summary.pdf,1Dbpc0pOjguZy7Tl6tpemXYk5qVTVPh_1,application/pdf,2019-03-09,33269
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 2.28.pdf,1nFmjm-43Kj-_JXESSDAT6S3hkewGl7F_,application/pdf,2019-03-09,199018
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 3.29  reconciliation detail.pdf,1XieBmBWJZCZ1k2jZTnYCa5n8ddn3Q0SV,application/pdf,2019-04-04,78367
Leal Trust Administration Litigation/LEAL DAIRY/LEAL TRUST PARTNERSHIP FINANCIALS/1Citizens Statements 10623/2019/2019 3.29 reconciliation summary.pdf,17tMewTMIa4JDKv9aPXedNeKL01tJoZ8Z,application/pdf,2019-04-04,32710
